timestamp,ec2_cpu,ec2_net,elb_req
2014-04-10 00:04:00,91.958,251643.0,94.0
2014-04-10 00:09:00,94.798,3203510.0,56.0
2014-04-10 00:14:00,92.208,287397.0,187.0
2014-04-10 00:19:00,93.722,238944.0,95.0
2014-04-10 00:24:00,93.042,245880.0,51.0
2014-04-10 00:29:00,92.958,234170.0,10.0
2014-04-10 00:34:00,95.708,255797.0,49.0
2014-04-10 00:39:00,95.25,244002.0,79.0
2014-04-10 00:44:00,94.458,514385.0,24.0
2014-04-10 00:49:00,92.75,270883.0,73.0
2014-04-10 00:54:00,94.208,249887.0,45.0
2014-04-10 00:59:00,92.75,3201940.0,9.0
2014-04-10 01:04:00,94.376,280638.0,33.0
2014-04-10 01:09:00,92.792,3231740.0,14.0
2014-04-10 01:14:00,91.666,223158.0,57.0
2014-04-10 01:19:00,87.542,242568.0,139.0
2014-04-10 01:24:00,90.75,221907.0,21.0
2014-04-10 01:29:00,91.65,248537.0,47.0
2014-04-10 01:34:00,90.06200000000004,223433.0,124.0
2014-04-10 01:39:00,93.416,247310.0,34.0
2014-04-10 01:44:00,89.904,224771.0,73.0
2014-04-10 01:49:00,90.542,223668.0,6.0
2014-04-10 01:54:00,90.628,240044.0,115.0
2014-04-10 01:59:00,91.166,3221290.0,14.0
2014-04-10 02:04:00,90.5,235606.0,21.0
2014-04-10 02:09:00,89.166,3202800.0,91.0
2014-04-10 02:14:00,90.292,244192.0,55.0
2014-04-10 02:19:00,90.208,231729.0,85.0
2014-04-10 02:24:00,93.626,251450.0,102.0
2014-04-10 02:29:00,93.624,219342.0,119.0
2014-04-10 02:34:00,93.756,241032.0,139.0
2014-04-10 02:39:00,93.542,219744.0,69.0
2014-04-10 02:44:00,92.042,232511.0,142.0
2014-04-10 02:49:00,90.938,237811.0,45.0
2014-04-10 02:54:00,91.376,226034.0,48.0
2014-04-10 02:59:00,92.666,3220170.0,3.0
2014-04-10 03:04:00,94.42,228654.0,32.0
2014-04-10 03:09:00,95.584,3227830.0,4.0
2014-04-10 03:19:00,90.62,256906.0,103.0
2014-04-10 03:24:00,93.478,216462.0,64.0
